"","scale","shape"
"T+1",1.54470106339964,2255.97065497028
"T+2",1.39907533967512,2533.27663632068
"T+3",1.97496350959054,1626.63208345772
"T+4",1.73928112912656,1879.85490486528
"T+5",1.57902673161393,2122.9160171094
"T+6",1.55273274649378,2271.23441749898
"T+7",1.65902797261783,2267.69054739267
"T+8",1.84648813315807,2164.60160557431
"T+9",1.64506077718214,2458.59849725588
"T+10",2.09241348516698,1956.98928457483
"T+11",1.66911967126982,2369.30910116371
"T+12",1.74934813817964,2394.14144872385
"T+13",1.52061217170899,2744.47350364714
"T+14",1.65033776117619,2684.39234947651
"T+15",2.70222474407695,1120.64203630634
"T+16",3.78712562747873,769.993485467885
"T+17",2.24376452916323,1154.14862577322
"T+18",2.26640526358926,1218.49844175251
"T+19",2.29142355501272,1282.19069306018
"T+20",2.11688503807604,1446.46842917918
"T+21",1.96951071783332,1619.42242351498
"T+22",2.12503690069389,1598.83281880656
"T+23",2.39987319645981,1496.4630077408
"T+24",2.25226183866289,1657.17658567516
"T+25",2.10903088152604,1834.73226849304
"T+26",1.49919622157745,2336.14491233884
"T+27",1.63994262134613,2282.7444163563
"T+28",1.75942962297526,2262.78191197176
"T+29",1.81013080779143,2321.46104420553
"T+30",1.70903038113591,2537.20730475272
"T+31",1.39053670098707,2989.64686275523
"T+32",1.29357108350903,3274.64573255729
"T+33",1.56445667847703,2831.07873481906
"T+34",1.87154574927296,2465.98570414857
"T+35",1.84226277416661,2607.10903777259
"T+36",2.21269076464643,2241.37951558888
"T+37",2.3123184448544,2240.69052698742
"T+38",2.11203346742943,2496.25765776287
"T+39",2.05436135749947,2650.63831622718
"T+40",1.89116042943504,2925.54061445988
"T+41",2.27289802666926,2498.25341514622
"T+42",2.53308649417775,2324.85428032981
"T+43",1.98287593830893,2843.25846128165
"T+44",2.08698436982554,2816.16150798015
"T+45",1.56512181947571,3456.13285102231
"T+46",1.65825406056705,3422.92117887659
"T+47",1.89018673780816,3133.85622316419
"T+48",2.20895613719531,2768.61698587342
"T+49",1.9319370005202,3151.20996266403
"T+50",1.45559284196456,3824.10301701546
"T+51",1.73905418281521,3316.70894477029
"T+52",1.83747773714448,3278.89702751099
"T+53",1.61499512146698,3696.11629683831
"T+54",1.75645724740633,3555.5371815974
"T+55",1.59076024930191,3928.20153953951
"T+56",1.70874869395422,3819.68231367467
"T+57",2.00454378238817,3356.62610416511
"T+58",2.2353864326912,3113.03769639441
"T+59",1.57314348833046,3922.22811574382
"T+60",1.668275315157,3862.31873392083
"T+61",1.92302432615916,3472.83125208892
"T+62",3.30824536335808,1289.73864100389
"T+63",2.04183939712924,1836.86367973995
"T+64",1.9704869560818,1986.8785214165
"T+65",1.88382078110029,2160.40338573079
"T+66",1.93044124877566,2220.32156283127
"T+67",1.79927486092816,2448.7299223165
"T+68",1.88729651476683,2459.65123935151
"T+69",2.01145070753435,2426.91113253486
"T+70",2.19812304441106,2327.15798733691
"T+71",2.0397280244085,2563.03467046955
"T+72",1.98977911015519,2716.26685025921
"T+73",1.92660344900856,2891.60193173727
"T+74",1.92574188513015,2999.21415373095
"T+75",2.22186844668763,2692.68182956309
"T+76",3.50927358222614,1372.00154070866
"T+77",2.04877657013465,2009.44412531483
"T+78",1.61178005806005,2443.80588221573
"T+79",1.46332696710478,2733.24704601108
"T+80",1.49413277245001,2825.43644702475
"T+81",1.46877096704912,2996.71237262934
"T+82",1.43255113566862,3189.60690538336
"T+83",1.40505429746877,3376.67967442621
"T+84",1.28291395559445,3717.80348306628
"T+85",1.7227378819647,2648.44544788879
"T+86",1.42034850892067,3099.66675008935
"T+87",1.4659624027953,3166.67379341543
"T+88",1.78289182981658,2695.67976829497
"T+89",1.74321302106014,2859.96317385225
"T+90",2.04780119289175,2532.11487195481
"T+91",1.94062728502689,2743.42391458527
"T+92",2.24306906977457,2464.45934332363
"T+93",2.15650163342328,2636.35664082428
"T+94",2.01363399604524,2878.82272600677
"T+95",1.47989502883869,3548.65196966261
"T+96",1.3870073265901,3846.35805892494
"T+97",1.70862394805779,3200.91653215095
"T+98",2.02212598081889,2799.17593979006
"T+99",1.55864583872041,3390.83029464776
"T+100",2.40877011904943,1682.69718842703
"T+101",2.1939453778423,1896.54301665141
"T+102",1.579731473837,2408.41237918248
"T+103",1.46136824367336,2666.85287766216
"T+104",1.58566069062959,2618.10091679788
"T+105",1.65832391215282,2647.93765621283
"T+106",1.66801501438953,2758.60636660524
"T+107",1.80269267976527,2693.70961056063
"T+108",1.80267857921433,2807.98348105958
"T+109",1.70599150993642,3043.10189043855
"T+110",1.6808301427759,3200.80049227572
"T+111",1.8005577179877,3133.84080578974
"T+112",2.1411021367539,2716.13852891548
"T+113",1.74803983922716,3214.8233925687
"T+114",2.02395213153647,2885.27526347601
"T+115",1.68280096624756,3370.78008855359
"T+116",1.88977424599547,3137.4440804786
"T+117",1.90776557779733,3220.87832261264
"T+118",2.12773591908211,3000.8632671842
"T+119",2.49708098096275,2621.18266945649
"T+120",2.19021421159866,2981.68898468557
"T+121",1.95770685350138,3338.32611795637
"T+122",2.14026023922152,3168.04597489807
"T+123",1.82881747835848,3637.72143961718
"T+124",2.02546617658149,3409.23965463495
"T+125",2.12821097138303,3355.72554579029
"T+126",1.60657268419779,4086.07232764097
"T+127",1.74871928639132,3914.36023768778
"T+128",1.94451620842872,3653.59022270454
"T+129",2.04241754629745,3596.58247877897
"T+130",1.96688523459302,3801.87549756975
"T+131",2.07296805882816,3722.76262952788
"T+132",2.05391646527241,3841.34928260975
"T+133",1.77107740073742,4355.54694908163
"T+134",2.24965803369359,3390.98661626941
"T+135",1.93722867154327,3867.62160875348
"T+136",1.96138860561261,3926.12277357167
"T+137",1.80278744418337,4278.93093906456
"T+138",1.94279840629366,4103.94307820451
"T+139",3.28507349357788,1617.76678907162
"T+140",1.68391517200883,2446.15057757717
"T+141",1.63148165597758,2626.03612735925
"T+142",1.33865043939026,3073.12908574741
"T+143",1.53648061422112,2843.92827696973
"T+144",1.37286523963105,3188.52351746926
"T+145",1.36434309613843,3349.68570830081
"T+146",1.41568371389763,3404.01706288199
"T+147",1.21544203680633,3851.82393096895
"T+148",1.41001459472027,3514.89181645809
"T+149",1.67156591270106,3097.01559674402
"T+150",1.69331353533902,3189.03743263921
"T+151",1.63566054003725,3397.10008962482
"T+152",1.36785636312308,3907.81891987794
"T+153",1.27247437146438,4238.4336944385
"T+154",1.41062358383959,4040.21177322071
"T+155",1.47430726438915,4047.61744735813
"T+156",1.62925511270253,3840.54696759415
"T+157",1.45081626124563,4269.29419326832
"T+158",1.62459460899744,3991.32810989158
"T+159",1.74316356505886,3878.09669321569
"T+160",1.91439847588144,3669.72382217638
"T+161",1.4281315085723,4441.85070983782
"T+162",1.57550033611694,4216.3703206006
"T+163",1.83907129333235,3735.76370279345
"T+164",2.02357976522713,3520.78428678962
"T+165",1.90418341566086,3789.13159475564
"T+166",1.52390390254345,4453.22869713365
"T+167",1.50039290000981,4637.67284013779
"T+168",1.55600753037399,4638.94507660308
"T+169",1.5381881721544,4807.2325082129
"T+170",1.54839254213515,4911.35650359537
"T+171",1.56228684044313,5003.73233038884
"T+172",1.46078912313508,5361.1526758134
"T+173",1.79853898500003,4396.76086405762
"T+174",2.3118090710943,3353.95543203074
"T+175",1.88153303398072,3953.58361417561
"T+176",1.67807388574951,4390.07642778846
"T+177",1.46054132608701,4915.25133822558
"T+178",1.63236547100199,4578.95998645223
"T+179",1.67272521044618,4609.74101847497
"T+180",1.45117094666696,5159.91095714984
"T+181",1.69880645969927,4547.79454049677
"T+182",2.24117241538337,3317.509768374
"T+183",1.98806708294006,3717.36080025637
"T+184",2.03735202153061,3735.19226849954
"T+185",1.50693106915665,4553.81256879553
"T+186",1.24644965368718,5186.47287432205
"T+187",1.34435357567997,5043.65188503568
"T+188",1.58752763476411,4423.4069878965
"T+189",1.81223530496509,4017.11909895292
"T+190",2.22296544917437,3304.10620653186
"T+191",1.46670077249322,4244.86321373145
"T+192",1.41565095599792,4491.21710529482
"T+193",1.87695676863825,3259.72499057059
"T+194",2.86576364315017,1746.56472710319
"T+195",1.55174492973172,2528.61577980665
"T+196",1.33164291952942,2902.30116803319
"T+197",1.54501661299416,2657.89900760785
"T+198",1.73307669368362,2512.92715573443
"T+199",1.52599435292825,2855.93820848564
"T+200",1.39760135447153,3160.42017716413
"T+201",1.37552966338486,3341.23504856688
"T+202",1.76677068724154,2607.57239502498
"T+203",3.72144829873951,306.464307725894
"T+204",0.960261297812882,590.064252571445
"T+205",0.989815355759475,650.020363202158
"T+206",0.872379021699821,762.192204041874
"T+207",0.915055147705915,824.979918346854
"T+208",0.958076978388294,890.135449120559
"T+209",0.953756375723902,984.909450547345
"T+210",0.941376328719326,1090.34050896162
"T+211",0.983654178352581,1165.01600645831
"T+212",0.921846483687317,1310.79049166086
"T+213",0.920905278230184,1427.77638689071
"T+214",1.00375794363141,1466.12494474968
"T+215",1.12326173771272,1461.55712030678
"T+216",1.16890506130633,1539.96852303798
"T+217",1.14243838018453,1683.74664297749
"T+218",1.10816750035639,1842.80008346811
"T+219",1.02585682780629,2054.07851693739
"T+220",1.06826434672572,2143.43010966183
"T+221",0.992571924159226,2370.63849695042
"T+222",1.07322034091045,2396.13559329866
"T+223",1.18639798830186,2363.92176829154
"T+224",1.33240933163852,2281.93118984128
"T+225",1.04299557962962,2689.74924661778
"T+226",1.03534056170176,2860.33132824402
"T+227",1.11528177067917,2873.99626199447
"T+228",1.10621821644726,3047.66739356565
"T+229",1.15279594288401,3124.60491291897
"T+230",1.01756158838412,3482.14732021038
"T+231",1.12044966715177,3411.95561873643
"T+232",1.1842138826178,3445.27388114506
"T+233",1.28457027620628,3393.25316668578
"T+234",1.49250650229623,3092.48390554383
"T+235",1.2922807154123,3505.55308995891
"T+236",1.29023556296427,3664.5089405545
"T+237",1.26240787343538,3873.91168888275
"T+238",1.38157720613789,3753.87433962228
"T+239",1.32557566465425,4007.78297152566
"T+240",1.42184291490794,3940.26594580839
"T+241",1.38905762941594,4150.63273227505
"T+242",1.35275702793154,4374.7693933189
"T+243",1.53749998142528,4038.98899019057
"T+244",1.50518122297373,4236.92186240572
"T+245",1.25793236910375,4819.01181679657
"T+246",1.17812670360946,5167.16280932062
"T+247",1.0380035314135,5662.01846849427
"T+248",1.11354389185847,5566.56427547554
"T+249",1.20533754589756,5415.76417100037
"T+250",1.47711131953997,4529.66849953052
"T+251",1.37707273217681,4880.73031118632
"T+252",1.35378663540516,5084.09298220619
"T+253",1.11588579455524,5740.18022475988
"T+254",1.41401955117087,4552.22758001798
"T+255",1.65175993162241,4049.02435793336
"T+256",1.5999761361113,4270.17447739778
"T+257",1.448460346663,4686.580472318
"T+258",1.44526560982264,4833.52754916728
"T+259",1.84150420786209,3765.98853329279
"T+260",2.11034758050988,3390.35551937893
"T+261",2.3068354629414,3200.90505965847
"T+262",2.30644685460664,3280.2501067912
"T+263",1.6735977421393,4085.83679067641
"T+264",2.03666812176357,3413.55799186768
"T+265",1.95037352166494,3630.84347549704
"T+266",2.97104411219327,1961.71646890676
"T+267",1.78991676797667,2744.42082678818
"T+268",2.18910499684492,2300.39962530246
"T+269",1.70368560211789,2806.35013952376
"T+270",1.86820121566435,2695.31555143078
"T+271",1.44304064225459,3251.19007594722
"T+272",1.43964743433544,3399.03813073317
"T+273",1.49677289453357,3438.38748844683
"T+274",1.57326883372097,3438.23062349351
"T+275",1.53468661412525,3634.76807416865
"T+276",1.44144493672188,3930.30942448415
"T+277",1.52852064082636,3888.62607199764
"T+278",1.44106060728556,4185.20443531382
"T+279",1.27168851691794,4648.29676936416
"T+280",1.44151750230128,4313.27600726987
"T+281",1.39434147825361,4556.15863297629
"T+282",1.26172616553023,4983.11743003253
"T+283",1.48152220024903,4424.92373883839
"T+284",1.5430740094912,4420.55972815285
"T+285",1.50688228583738,4629.33145819602
"T+286",1.27492743455889,5223.02150746551
"T+287",1.58723435533185,4249.78425225848
"T+288",1.67080259802971,4198.42804426506
"T+289",1.65393466659571,4352.16194400069
"T+290",1.31170830986121,5068.96042074504
"T+291",1.29423929617826,5266.15655415575
"T+292",1.53910627306543,4580.98143042019
"T+293",1.19796335635199,5332.98357104953
"T+294",1.14741127645915,5632.04224898823
"T+295",1.25188593524182,5429.50248580735
"T+296",1.32217002950024,5365.50601630241
"T+297",1.57098432858034,4662.35669009938
"T+298",1.57100722734992,4788.63075734366
"T+299",1.68303669411045,4637.77303664944
"T+300",1.70580973103279,4702.23865206566
"T+301",1.82608994293691,4538.53765812973
"T+302",1.70055981385107,4883.5329795832
"T+303",1.77463209484725,4819.54783510774
"T+304",1.81792362942098,4825.30403498533
"T+305",1.88637513452528,4771.56923302947
"T+306",1.77069696440749,5095.0754060023
"T+307",2.95674228874912,1996.78188918848
"T+308",2.37515469812204,2427.45643631205
"T+309",2.03050859041969,2815.55854065628
"T+310",2.40807261771174,2439.58581273997
"T+311",2.12517082527747,2772.04948587
"T+312",1.91625647141562,3095.22004279329
"T+313",1.90682476633861,3214.77672249406
"T+314",2.30311822946765,2716.00952869777
"T+315",1.84720322025868,3251.19501147604
"T+316",2.34000007323103,2564.38979450705
"T+317",2.92761318213154,2055.46068125313
"T+318",2.29543941750846,2532.55077999871
"T+319",1.84233473387406,3037.93833135918
"T+320",2.14879436980633,2698.11873631515
"T+321",2.75880283683232,2084.37135472087
"T+322",1.74393484628757,2832.79766209848
"T+323",2.34405572016476,2029.22500879486
"T+324",1.93261511678367,2419.78881860745
"T+325",1.97105317968115,2483.67772748677
"T+326",2.02894098732178,2523.82851996409
"T+327",2.70229978158346,1842.40989900122
"T+328",1.92124806001272,2390.80158121825
"T+329",2.08251306059869,2319.74663932771
"T+330",2.00631752103752,2489.44157000874
"T+331",2.56591011260439,1945.99841138069
"T+332",2.43971117806347,2107.99480935879
"T+333",1.95631302895629,2551.2682491625
"T+334",2.12674442623028,2459.43443828007
"T+335",1.83960113991009,2830.07745292918
"T+336",1.74678906211343,3057.78677719007
"T+337",1.78248932845139,3125.27390368216
"T+338",2.36711532489899,2281.11964378791
"T+339",2.29405919622858,2426.66698629771
"T+340",2.37815019683071,2432.39867051826
"T+341",1.68703481392048,3098.7331107259
"T+342",1.86703746441122,2938.83977049415
"T+343",1.80053131435143,3135.10826196522
"T+344",1.97448929634935,2988.25723486508
"T+345",1.66719746249072,3456.98715147121
"T+346",1.66677838867171,3582.56060852598
"T+347",1.95823920847411,3154.91840777805
"T+348",1.7267346318461,3556.04883990658
"T+349",1.86905645408426,3427.79713386945
"T+350",1.53333125941182,3995.606732145
"T+351",1.56547282744114,4065.76672921425
"T+352",1.53739032856615,4252.60587936075
"T+353",1.65495814999281,4123.02125307943
"T+354",1.82892537420662,3880.29725552965
"T+355",1.90065418366474,3861.40571797079
"T+356",1.69729831384014,4288.191310646
"T+357",1.68904760522494,4421.70050998957
"T+358",1.73217904099508,4447.17819830886
"T+359",1.55583949454337,4896.33604419751
"T+360",1.5244421093157,5095.60840832275
"T+361",1.59032791886052,5050.46438438234
"T+362",1.58579847900507,5180.89687028023
"T+363",1.65087160331849,5130.98816600575
"T+364",1.67388323568621,5185.70807728639
"T+365",1.62777704904299,5402.959932204
"T+366",1.76653800689042,5134.29096923107
"T+367",1.64393037913772,5504.80148643504
"T+368",1.62246813211894,5665.65457484103
"T+369",1.50080590329683,6079.79356062054
"T+370",1.47850140205576,6260.08924888979
"T+371",1.55412181109325,6127.75746313603
"T+372",1.75041854120032,5591.77860565825
"T+373",1.59780370162381,6048.38664977476
"T+374",1.35143149481451,6773.47305971358
"T+375",1.35565668374793,6881.37628251498
"T+376",1.57994689534109,6064.54634626165
"T+377",1.56167543375679,6220.79268910573
"T+378",1.23465629280774,7132.7134233736
"T+379",1.38249418638216,6615.63154916334
"T+380",1.75329019351679,5148.77999861371
"T+381",1.82662162042206,5070.87717156492
"T+382",1.98232842036898,4795.79564169407
"T+383",1.43483895020493,5826.60920019564
"T+384",1.56261224116676,5545.29629267723
"T+385",1.59694010083745,5566.53510135184
"T+386",1.61168113579159,5637.40553727506
"T+387",1.70816106773709,5473.66009124498
"T+388",1.46204895597086,6131.44128359222
"T+389",1.63701325293579,5654.51883998972
"T+390",2.38382803305874,3298.62578448096
"T+391",1.44843423538962,4384.25470572148
"T+392",1.38083484547493,4669.51036602577
"T+393",1.12590553919187,5313.36534803615
"T+394",1.17912233416745,5314.86657088173
"T+395",1.15643337416014,5542.18967189258
"T+396",1.15889653004859,5698.7801247056
"T+397",1.27689996749795,5438.10501551514
"T+398",1.42674902022818,5094.10345731893
"T+399",1.47176152525011,5111.71874040884
"T+400",1.5202915938723,5116.00682093457
"T+401",1.47642025480629,5350.85796412291
"T+402",1.52737244531674,5339.18382289983
"T+403",1.45611774090593,5641.65131551326
"T+404",1.36453401302111,6013.06934671733
"T+405",1.28769289037963,6370.72602725892
"T+406",1.24902766711427,6634.34445146669
"T+407",1.20573775191377,6919.77311521642
"T+408",1.36990529469797,6335.65351776874
"T+409",1.26635171004729,6773.35238171568
"T+410",1.22357926915474,7054.88763583068
"T+411",1.2436223290244,7113.82122611836
"T+412",1.36572551720355,6725.70529673403
"T+413",1.2157813367051,7303.57464844453
"T+414",1.33637739099899,6901.98299905069
"T+415",1.34297821511792,7000.73786812549
"T+416",1.256108736189,7411.47031084788
"T+417",1.10954348075145,8026.13825363494
"T+418",1.05524537007005,8377.97253148219
"T+419",1.10024423726815,8288.8649299254
"T+420",1.26047250128053,7518.1470694608
"T+421",1.26659089184424,7615.28217386827
"T+422",1.25280181852557,7788.25720115114
"T+423",1.32030644351768,7608.57443488729
"T+424",1.60906158347087,6298.00795963293
"T+425",1.46487188632934,6793.85010460221
"T+426",1.23366794809812,7563.17731350682
"T+427",1.20364277849264,7804.47564067564
"T+428",1.499398189893,6274.75234429306
"T+429",1.70955405762773,5656.13181258651
"T+430",1.60081281940367,6021.78175957572
"T+431",1.42300464379108,6589.34007188651
"T+432",1.46312321397292,6567.75812219893
"T+433",1.75104035193135,5569.75341022914
"T+434",1.6848155600965,5824.14519947466
"T+435",1.30695583608725,6772.72005782853
"T+436",1.46812230958357,6248.47904577696
"T+437",1.35654179160631,6686.79352709033
"T+438",1.43795015940799,6511.42735525301
"T+439",1.56181458121153,6187.098335169
"T+440",1.64170674938038,6041.66928737613
"T+441",1.8013010355008,5651.98100313528
"T+442",1.22526083867719,6886.19886706528
"T+443",1.31313405809396,6670.82284581419
"T+444",1.35291062323382,6657.6133303807
"T+445",1.59208211318549,5803.52868325516
"T+446",1.66856762965559,5689.50010406762
"T+447",1.79393058804467,5437.83597986358
"T+448",2.39581510508972,3848.8539474121
"T+449",2.44266086442765,3843.18862578228
"T+450",3.08568442152333,2987.22545161208
"T+451",5.27978877316223,1339.9120920454
"T+452",1.84066418075088,2574.72620469108
"T+453",1.80674252318144,2725.2959494372
"T+454",1.58473203211169,3095.90508598024
"T+455",1.70331723178627,3035.61783023643
"T+456",1.39855114960006,3539.62306853188
"T+457",1.31029600708531,3838.49316576121
"T+458",1.40013849834193,3794.89534114345
"T+459",1.17112390051763,4317.26916136317
"T+460",1.25350500343755,4269.01648694708
"T+461",1.42493197505833,3965.16869119729
"T+462",1.3728611295224,4212.53270689399
"T+463",1.48504671403679,4094.02971038872
"T+464",1.30321737725561,4565.49076788403
"T+465",1.37157461461798,4544.62076151349
"T+466",1.50816490547837,4335.65823213072
"T+467",1.36054417075485,4762.45132858319
"T+468",1.44497641730471,4686.93659743839
"T+469",1.56755771714193,4511.26037432333
"T+470",1.47756782703033,4828.28153141082
"T+471",1.58398062814747,4688.39252836785
"T+472",1.26759760089225,5413.74774068588
"T+473",1.26128893412385,5585.00528431174
"T+474",1.20291365885802,5900.78095810714
"T+475",1.59792694281922,4237.29858841612
"T+476",1.81540883450357,3873.7693787653
"T+477",1.59617729011814,4338.81681353664
"T+478",1.6249513565656,4404.24996691231
"T+479",1.74669614558044,4256.51900920907
"T+480",1.49737761126492,4811.00359995415
"T+481",1.25933094153941,5431.91174325741
"T+482",1.47900835059786,4807.68371345772
"T+483",1.52719973426362,4822.92681161593
"T+484",1.58103316138378,4820.31393200771
"T+485",1.55989509696436,4992.64186614953
"T+486",1.37077393015687,5529.80348952165
"T+487",1.57318915743945,5000.8213915249
"T+488",1.96840980152699,3992.284875431
"T+489",2.01882114387202,4000.16754365252
"T+490",1.73174816681783,4541.40341891107
"T+491",1.87645050310749,4333.33181005642
"T+492",2.09807917196774,3987.02037499491
"T+493",2.25834337327988,3803.25764335266
"T+494",2.52650042185984,3471.95601558072
"T+495",1.86563680140197,4307.54642978097
"T+496",1.62048547748209,4839.27197026438
"T+497",1.64676610813077,4896.46032239901
"T+498",1.60400310309812,5108.81727386109
"T+499",1.42475170759858,5626.3871203847
"T+500",1.40239298660037,5820.9791528106
"T+501",1.42957154492615,5870.40425183123
"T+502",1.31338884157271,6315.03192434466
